cohort,batch,i,minp_below_001
CESC,87,9,101
CESC,88,0,117
CESC,88,1,152
CESC,88,2,84
CESC,88,3,414
CESC,88,4,107
CESC,88,5,110
CESC,88,6,140
CESC,88,7,90
CESC,88,8,127
CESC,88,9,264
CESC,89,0,137
CESC,89,1,141
CESC,89,2,96
CESC,89,3,119
CESC,89,4,452
CESC,89,5,231
CESC,89,6,110
CESC,89,7,374
CESC,89,8,47
CESC,89,9,125
CESC,90,0,224
CESC,90,1,245
CESC,90,2,87
CESC,90,3,123
CESC,90,4,142
CESC,90,5,244
CESC,90,6,112
CESC,90,7,149
CESC,90,8,105
CESC,90,9,36
CESC,91,0,127
CESC,91,1,173
CESC,91,2,162
CESC,91,3,103
CESC,91,4,169
CESC,91,5,225
CESC,91,6,137
CESC,91,7,98
CESC,91,8,101
CESC,91,9,121
CESC,92,0,288
CESC,92,1,344
CESC,92,2,162
CESC,92,3,110
CESC,92,4,583
CESC,92,5,58
CESC,92,6,131
CESC,92,7,126
CESC,92,8,447
CESC,92,9,152
CESC,93,0,197
CESC,93,1,140
CESC,93,2,70
CESC,93,3,293
CESC,93,4,252
CESC,93,5,77
CESC,93,6,226
CESC,93,7,125
CESC,93,8,165
CESC,93,9,166
CESC,94,0,148
CESC,94,1,185
CESC,94,2,101
CESC,94,3,126
CESC,94,4,91
CESC,94,5,454
CESC,94,6,112
CESC,94,7,148
CESC,94,8,208
CESC,94,9,110
CESC,95,0,86
CESC,95,1,348
CESC,95,2,69
CESC,95,3,76
CESC,95,4,348
CESC,95,5,130
CESC,95,6,241
CESC,95,7,137
CESC,95,8,109
CESC,95,9,182
CESC,96,0,126
CESC,96,1,366
CESC,96,2,154
CESC,96,3,146
CESC,96,4,359
CESC,96,5,190
CESC,96,6,98
CESC,96,7,221
CESC,96,8,191
CESC,96,9,83
CESC,97,0,333
CESC,97,1,269
CESC,97,2,112
CESC,97,3,81
CESC,97,4,128
CESC,97,5,78
CESC,97,6,203
CESC,97,7,226
CESC,97,8,167
CESC,97,9,221
CESC,98,0,1124
CESC,98,1,403
CESC,98,2,349
CESC,98,3,107
CESC,98,4,125
CESC,98,5,81
CESC,98,6,246
CESC,98,7,247
CESC,98,8,158
CESC,98,9,137
CESC,99,0,122
CESC,99,1,225
CESC,99,2,159
CESC,99,3,224
CESC,99,4,216
CESC,99,5,69
CESC,99,6,302
CESC,99,7,611
CESC,99,8,245
CESC,99,9,198
CESC,100,0,198
CESC,100,1,317
CESC,100,2,487
CESC,100,3,196
CESC,100,4,159
CESC,100,5,155
CESC,100,6,683
CESC,100,7,121
CESC,100,8,99
CESC,100,9,385
CESC,101,0,225
CESC,101,1,200
CESC,101,2,152
CESC,101,3,131
CESC,101,4,168
CESC,101,5,118
CESC,101,6,111
CESC,101,7,98
CESC,101,8,227
CESC,101,9,223
CESC,102,0,132
CESC,102,1,449
CESC,102,2,80
CESC,102,3,113
CESC,102,4,195
CESC,102,5,156
CESC,102,6,129
CESC,102,7,154
CESC,102,8,92
CESC,102,9,145
CESC,103,0,370
CESC,103,1,324
CESC,103,2,157
CESC,103,3,264
CESC,103,4,115
CESC,103,5,154
CESC,103,6,386
CESC,103,7,280
CESC,103,8,158
CESC,103,9,207
CESC,104,0,351
CESC,104,1,75
CESC,104,2,163
CESC,104,3,681
CESC,104,4,60
CESC,104,5,216
CESC,104,6,100
CESC,104,7,96
CESC,104,8,152
CESC,104,9,168
CESC,105,0,82
CESC,105,1,220
CESC,105,2,295
CESC,105,3,154
CESC,105,4,308
CESC,105,5,219
CESC,105,6,271
CESC,105,7,97
CESC,105,8,134
CESC,105,9,327
CESC,106,0,341
CESC,106,1,158
CESC,106,2,145
CESC,106,3,772
CESC,106,4,140
CESC,106,5,163
CESC,106,6,148
CESC,106,7,168
CESC,106,8,245
CESC,106,9,81
CESC,107,0,135
CESC,107,1,293
CESC,107,2,203
CESC,107,3,397
CESC,107,4,293
CESC,107,5,309
CESC,107,6,456
CESC,107,7,505
CESC,107,8,127
CESC,107,9,410
CESC,108,0,130
CESC,108,1,248
CESC,108,2,70
